,score,replies,length,length_ratio,sureness
0,232,1,57,0.27,70.00595
1,26,1,161,1.07,74.76328
2,54,0,125,0.59,77.8424
3,154,0,190,1.12,70.0832
4,45,1,52,0.59,77.5315
5,26,0,33,0.21,77.98597
6,35,1,10,0.09,69.614914
7,33,0,150,1.0,73.71534
8,63,0,6,0.06,76.50665
9,27,0,48,0.95,74.926155
10,27,0,78,0.3,74.9493
11,42,0,59,0.39,69.84584
12,-4,0,744,1.17,74.926155
13,72,37,85,0.8,72.79641
14,87,0,5,0.1,77.82905
15,54,1,12,0.05,86.39871
16,3,7,188,0.76,69.84584
17,31,1,93,0.87,78.56875
18,89,0,100,0.44,78.381386
19,793,3,33,0.24,75.129196
20,93,1,178,1.05,75.46283
21,28,0,72,0.64,80.03985
22,31,0,7,0.08,76.52228
23,41,2,136,0.85,77.82905
24,45,0,40,0.13,74.42369
25,26,3,441,1.01,78.19719
26,41,1,188,0.66,73.33838
27,107,1,110,0.33,79.60618
28,47,0,15,0.15,77.207306
29,46,0,262,1.7,77.5315
30,72,0,57,0.52,81.40887
31,117,0,68,0.24,77.8424
32,3,7,93,0.58,72.726524
33,112,1,170,0.8,74.3823
34,28,0,489,2.89,75.31868
35,54,9,83,0.38,74.926155
36,43,0,44,0.29,77.34215
37,70,0,40,0.33,75.866455
38,35,0,113,0.36,79.744354
39,28,1,8,0.07,77.65492
40,43,12,139,1.3,75.83549
41,1437,0,48,0.23,70.34942
42,30,0,177,1.46,73.33838
43,7,8,161,1.26,75.284546
44,26,2,75,0.35,75.47132
45,47,0,21,0.41,86.40582
46,22,8,42,0.39,75.64771
47,83,2,130,0.94,77.34215
48,6,6,249,1.74,75.85807
49,30,1,52,0.2,75.84388
