,score,replies,length,length_ratio,sureness
0,26,3,441,1.01,77.0
1,41,1,188,0.66,86.0
2,107,1,110,0.33,89.0
3,47,0,15,0.15,85.0
4,46,0,262,1.7,84.0
5,72,0,57,0.52,86.0
6,117,0,68,0.24,92.0
7,3,7,93,0.58,60.0
8,112,1,170,0.8,88.0
9,28,0,489,2.89,79.0
10,54,9,83,0.38,79.0
11,43,0,44,0.29,84.0
12,70,0,40,0.33,83.0
13,35,0,113,0.36,79.0
14,28,1,8,0.07,68.0
15,43,12,139,1.3,78.0
16,1437,0,48,0.23,82.0
17,30,0,177,1.46,82.0
18,7,8,161,1.26,78.0
19,26,2,75,0.35,76.0
20,47,0,21,0.41,73.0
21,22,8,42,0.39,66.0
22,83,2,130,0.94,85.0
23,6,6,249,1.74,71.0
24,30,1,52,0.2,69.0
