כמות הלייקים פחות דיסלייקטים,כמות תגובות,אורך התשובה,אורך בהשווה לממוצע (100%=ממוצע),אחוז בטחון (בין 0 ל100)
232,1,57,0.27,95
26,1,161,1.07,95
54,0,125,0.59,90
154,0,190,1.12,95
45,1,52,0.59,80
26,0,33,0.21,90
35,1,10,0.09,80
33,0,150,1.00,90
63,0,6,0.06,100
27,0,48,0.95,60
27,0,78,0.30,60
42,0,59,0.39,80
-4,0,744,1.17,95
72,37,85,0.80,50
87,0,5,0.10,90
54,1,12,0.05,90
3,7,188,0.76,80
31,1,93,0.87,60
89,0,100,0.44,90
793,3,33,0.24,40
93,1,178,1.05,80
28,0,72,0.64,80
31,0,7,0.08,90
41,2,136,0.85,90
45,0,40,0.13,80
