כמות הלייקים פחות דיסלייקטים,כמות תגובות,אורך התשובה,אורך בהשווה לממוצע (100%=ממוצע),אחוז בטחון (בין 0 ל100)
26,3,441,1.01,65
41,1,188,0.66,80
107,1,110,0.33,95
47,0,15,0.15,100
46,0,262,1.70,85
72,0,57,0.52,100
117,0,68,0.24,100
3,7,93,0.58,60
112,1,170,0.80,80
28,0,489,2.89,50
54,9,83,0.38,70
43,0,44,0.29,100
70,0,40,0.33,90
35,0,113,0.36,70
28,1,8,0.07,95
43,12,139,1.30,60
1437,0,48,0.23,100
30,0,177,1.46,85
7,8,161,1.26,50
26,2,75,0.35,60
47,0,21,0.41,95
22,8,42,0.39,70
83,2,130,0.94,75
6,6,249,1.74,55
30,1,52,0.20,85
